adventure,episode,verified,user,character,skill,difficulty,dice,dice_results,roll_results,check_type,fp_spent,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Mechanics,Hard,yygggppp,suc;adv;suc;adv;adv;thr;thr;thrfai,suc,Mod ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Mechanics,Hard,yygggppp,adv;nil;nil;adv;adv;thr;faifai;faifai,faifaifaifaiadvadv,Mod ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Negotiation,Opposed,yyggbbbbrrr,sucadv;advadv;suc;suc;sucadv;advadv;nil;nil;thr;fai;fai,sucsucadvadvadvadvadv,Social ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Computers,Average,ggpp,sucsuc;sucadv;fai;nil,sucsucadv,Information ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Computers,Average,ggpp,nil;advadv;thrthr;nil,nil,Information ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Knowledge (Underworld),Average,ggpp,sucadv;adv;thrfai;thrfai,fai,Information ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Knowledge (Underworld),Average,ggpp,suc;nil;thrfai;thrfai,faithrthr,Information ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Streetwise,Average,gpp,sucadv;thr;thrthr,sucthrthr,Information ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Streetwise,Average,ggpp,suc;suc;thr;faifai,thr,Information ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Vigilance,Simple,yg,advadv;advadv,advadvadvadv,Initiative,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Yiyar Clan Member,Cool,Simple,gg,suc;suc,sucsuc,Initiative ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Yiyar Clan Member,Cool,Simple,gg,adv;nil,adv,Initiative ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Vigilance,Simple,yg,sucsuc;nil,sucsuc,Initiative,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,IsoTech Guard,Vigilance,Simple,gg,sucadv;sucadv,sucsucadvadv,Initiative ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Ranged (Light),Easy,yyggpk,suc;suc;suc;sucsuc;thr;thr,sucsucsucsucsucthrthr,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Melee,Average,yyggppk,suc;adv;sucadv;adv;nil;fai;fai,advadvadv,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Yiyar Clan Member,Ranged (Light),Easy,yggpk,nil;suc;adv;fai;fai,faiadv,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,IsoTech Guard,Ranged (Light),Easy,ygpk,tri;advadv;thr;nil,sucadvtri,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Yiyar Clan Member,Melee,Average,ygbppkkkk,advadv;suc;sucadv;thr;thr;thr;thr;nil;fai,sucthr,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Melee,Average,yyggbppk,suc;suc;nil;sucsuc;nil;thr;thr;fai,sucsucsucthrthr,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Ranged (Light),Average,yyggppkv,suc;tri;suc;suc;thr;thrfai;thr;adv,sucsucsucthrthrtri,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Yiyar Clan Member,Ranged (Light),Average,yggppkkk,advadv;suc;sucsuc;thrthr;faifai;nil;fai;nil,nil,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Athletics,Average,ggggpp,nil;suc;suc;suc;thr;thr,sucsucsucthrthr,Competitive ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Coordination,Average,ggggpp,advadv;sucadv;adv;adv;thrfai;thr,advadvadv,Competitive ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Yiyar Clan Member,Athletics,Average,ygpp,advadv;suc;thr;fai,adv,Competitive ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Coordination,Average,ggggbpp,suc;adv;suc;adv;suc;thr;thr,sucsucsuc,Competitive ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Athletics,Average,ggggpp,sucadv;suc;nil;advadv;thr;fai,sucadvadv,Competitive ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Yiyar Clan Member,Coordination,Average,gggpp,adv;adv;sucadv;thrfai;thrfai,faiadv,Competitive ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Piloting (Space),Hard,ggggbppp,suc;suc;sucsuc;adv;nil;thr;thrfai;faifai,sucthr,Vehicle,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Astrogation,Average,yggggppk,sucsuc;sucsuc;sucsuc;suc;advadv;nil;thr;nil,sucsucsucsucsucsucsucadv,Vehicle,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Wheel Security,Cool,Simple,g,sucadv,sucadv,Initiative ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Wheel Security,Cool,Simple,g,suc,suc,Initiative ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Vigilance,Simple,yg,sucsuc;adv,sucsucadv,Initiative,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Vigilance,Simple,yg,nil;suc,suc,Initiative,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Vigilance,Simple,g,sucadv,sucadv,Initiative,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Perception,Hard,yppp,nil;thr;thr;thrfai,faithrthrthr,Crew Member,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Mechanics,Hard,yygggppp,sucadv;adv;suc;suc;sucadv;fai;fai;thrthr,sucsucadv,Crew Member,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Wheel Security,Gunnery,Average,yyppkkk,sucsuc;adv;nil;fai;nil;fai;nil,adv,Combat ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Mechanics,Hard,yygggbbppp,suc;sucadv;adv;adv;suc;adv;advadv;thr;thrthr;thr,sucsucsucadvadv,Mod ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Mechanics,Daunting,yygggpppp,sucsuc;sucsuc;sucsuc;sucadv;sucsuc;thr;thr;nil;faifai,sucsucsucsucsucsucsucthr,Mod ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Torque,Mechanics,Hard,yygggppp,tri;nil;advadv;adv;adv;nil;fai;thr,advadvadvtri,Mod ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Torque,Mechanics,Hard,yyyggrpp,tri;advadv;suc;sucsuc;advadv;thr;nil;nil,sucsucsucsucadvadvadvtri,Mod ,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Torque,Computers,Easy,yggggp,sucadv;suc;adv;adv;adv;thr,sucsucadvadvadv,Skill,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Cool,Simple,ygg,nil;sucadv;nil,sucadv,Strain Recovery,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Ru,Medicine,Hard,ggppp,advadv;adv;thr;thr;faifai,faifaiadv,Medicine,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Computers,Hard,yggggppp,suc;adv;suc;sucadv;advadv;thrfai;thr;faifai,advadv,Skill,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Keith,Pax,Cool,Simple,gggg,suc;adv;adv;advadv,sucadvadvadvadv,Recovery,,,
Beyond the Rim,Tale of the Sa Nalaor,TRUE,Zack,Torque,Astrogation,Hard,yggggbpppkk,tri;nil;sucadv;sucsuc;sucsuc;advadv;thr;thrthr;fai;thr;nil,sucsucsucsucsucthrtri,Crew Member,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Computers,Hard,yggggppp,sucsuc;sucadv;sucsuc;nil;suc;thrfai;thr;thr,sucsucsucsucsucthrthr,Crew Member,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Piloting (Space),Hard,ggggbpppk,sucsuc;adv;sucadv;suc;nil;thr;thr;thrthr;nil,sucsucsucsucthrthr,Pilot,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Piloting (Space),Hard,ygggbppp,advadv;suc;suc;advadv;sucadv;thrthr;nil;fai,sucsucadvadvadv,Pilot,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Computers,Average,yggggpp,sucadv;adv;sucadv;advadv;nil;thrthr;thr,sucsucadvadv,Crew Member,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Perception,Easy,ygbp,sucadv;sucadv;nil;thr,sucsucadv,Crew Member,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Leadership,Average,yggbpp,sucsuc;suc;suc;nil;thr;thrfai,sucsucsucthrthr,Leadership,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Gunnery,Hard,yyggppp,nil;adv;adv;suc;thr;thr;thr,sucthr,Combat ,,,
