id,name,isActive,activationType,isForceOnly,isRanked,descriptionShort,descriptionLong
023fc0c746d588423a2b,A Step Ahead,true,Incidental,false,false,"Once per session, the character may suffer 2 strain in order to count his Cunning as one higher than normal for the remainder of the encounter.",
e82c29e50de67f46118f,Acklay's Scything Strike,false,Passive,false,false,Brawl attacks gain Pierce rating equal to Force rating.,
73799c913d45c6a7aba9,Altered Deal,true,Action,false,false,Once per session may take the Altered Deal action and make Hard (:pu: :pu: :pu:) Coercion check to radically change a previously made deal or bargain to the character’s advantage.,
520eb707c36697d08101,Ambush,true,Maneuver,false,false,"Once per round while benefiting from cover, may make the Ambush maneuver. Add damage equal to Stealth skill to one hit of next successful combat check against a target within Short range before the end of the turn.",
d99fd765c0825c78045f,Analyze Data,true,Action,false,false,"Once per session, after capturing enemy data, may perform the Analyze Data action to make an Average (:pu: :pu:) Knowledge (Warfare) check. Once during the remainder of the session he may then add :suc: equal to ranks in Knowledge (Warfare) to one check related to that data.",
89c89f63bd2bc316128f,Animal Bond (Improved),false,Passive,true,false,"When spending a maneuver to direct a bonded animal, the character may suffer 1 strain to add :bl: to the animal’s next check.",
c5518ad1479d06832510,As the Force Wills It,false,Passive,false,false,May make an Easy (:pu:) Knowledge (Lore) check to heal strain at the end of an encounter . :tri: can be spent to heal all strain.,
30526c442990eb27650d,Beast Wrangler,false,Passive,false,true,Add :bl: per rank of Beast Wrangler to checks to tame or wrangle creatures.,
ef8cb1a96f1a904d6873,Better Luck Next Time,true,Action,false,false,Take a Better Luck Next Time action; make a Hard (:pu: :pu: :pu:) Cool check to force a competitor to suffer a major misfortune.,
cea78a572dab61b1664f,Biggest Fan,true,Action,false,false,"Once per session, may take a Biggest Fan action; make a Hard (:pu: :pu: :pu:) Charm check to turn one NPC into the character’s biggest fan.",
19c35ea2748735a67704,Bodyguard (Supreme),false,Passive,false,false,Body Guard maneuver may protect a number of engaged characters up to ranks in Resilience.,
cde2b5866f2bb7e336be,Bolstered Armor,false,Passive,false,true,Increase the armor value of Signature vehicle by 1 per rank of Bolstered Armor.,
cd25b884671b28d32617,Bring It Down,true,Incidental,false,false,"Once per attack, spend 1 Destiny Point to add damage to a single hit equal to target’s Brawn value.",
53eeaefbd80786aad9a2,Burly,false,Passive,false,true,Reduce any wielded weapon’s Cumbersome quality and Encumbrance rating by a number equal to ranks in Burly to a minimum of 1.,
805ca95c4a9a93ba69cc,By the Book,true,Incidental,false,true,"Once per encounter, before making a combat check, the character may suffer two strain to add :adv: to the results equal to his ranks in By the Book.",
1d2917814eb4a5b3f6b0,Call 'Em,false,Passive,false,false,Do not add :bk: to combat checks due to the use of the Aim maneuver.,
4f042f6b54ad34d049c5,Calm Commander,false,Passive,false,false,May use ranks in Cool to upgrade Mass Combat checks instead of ranks in Leadership.,
2790d1a785f3584d6721,Clever Commander,false,Passive,false,false,May use ranks in Knowledge (Warfare) to upgrade Mass Combat checks instead of ranks in Leadership.,
28c9af3254f28d69f734,Combat Programming,true,Action,false,false,"Once per encounter make a Hard (:pu: :pu: :pu:) Computers check while repairing or working on a droid. For the remainder of the encounter, the droid gains 1 rank in two different combat skills.",
b4222dae168125304907,Combat Veteran,false,Passive,false,true,The character adds :bl: to his Brawl and Discipline checks equal to his ranks in Combat Veteran.,
3c2a322fa2d92a6d1ed7,Commanding Presence (Improved),true,Action,false,false,"Once per session, may take Commanding Presence action; make an opposed Cool vs. Discipline check to force target to leave the encounter.",
cc2e4d73c2390b7ae165,Comrades In Arms,true,Action,false,false,"Once per encounter, take Comrades in Arms action and make a Hard (:pu: :pu: :pu:) Discipline check. If successful, the character plus on ally per :suc: within medium range gains +1 defense for the remainder of the encounter.",
e7272d40919f33871aa0,Comrades In Arms (Improved),false,Passive,false,false,Spend :adv: :adv: :adv: or :tri: from Comrades in Arms check to also gain +1 soak or give one affected ally +1 soak.,
aed733adab9f6f4ecbab,Confidence (Improved),false,Passive,false,false,May spend :tri: on fear checks to give allies in short range additional :suc: on the same fear check.,
0e66d3098d132a95f7d9,Constant Vigilance,false,Passive,false,false,May always use Vigilance when making checks to determine initiative.,
7ce3f8a9846c07c19ffb,Construction Specialist,false,Passive,false,true,"Remove :bk: equal to ranks in Construction Specialist from checks to construct defenses, positions, fortifications, and similar projects.",
a8804c9bec219c514991,Corellian Sendoff,true,Action,false,false,Take a Corellian Sendoff action targeting two ships or vehicles at Close range; make a Hard (:pu: :pu: :pu:) Cool check to cause the targets to suffer a minor collision.,
d7227c5f10ec75c483ff,Corellian Sendoff (Improved),false,Passive,false,false,"When performing a Corellian Sendoff, the targets suffer a major collision instead.",
fa1a2e72467b663c5c49,Creative Design,false,Passive,false,true,"As part of resolving a successful crafting check, the character may also apply a result equivalent to spending a number of :adv: equal to his ranks in Creative Design. The GM may then apply a result equivalent to spending that same number of :thr:.",
e70761302b37502b0e7b,Cunning Persona,true,Incidental,false,false,The character may suffer 2 strain to make a Charm check with Cunning instead of Presence.,
48bec154dee78756c069,Cunning Snare,true,Action,false,false,"Once per encounter as an action, may create a trap. Any other character who moves to engaged range of the trap must make an Opposed Vigilance vs. Survival check to avoid harm and ill effects.",
05e3ae1bb27e38240d0b,Customized Cooling Unit,false,Passive,false,true,Increase the system strain threshold of Signature Vehicle by 2 per rank of Customized Cooling Unit.,
a54745072b7e7d5ae7a9,Deathblow,false,Passive,false,false,"After making a successful attack with a nonstarship/ vehicle weapon, the character may spend one Destiny Point to add damage equal to his Willpower to one hit of the successful attack.",
54ecc50318cd9b47e7d7,Deceptive Taunt,true,Action,false,false,"Once per session, may make Deceptive Taunt action. Make opposed Deception check. If successful, one adversary must attack the character during adversary’s next turn.",
7e69cb3527653341ee6d,Design Flaw,true,Incidental,false,true,"When making a combat check with a personal scale weapon against a droid, may add equal to ranks in Design Flaw.",
5dedb04cc942b1ac103e,Desperate Repairs,true,Action,false,false,"Once per session may make a Hard (:pu: :pu: :pu:) Mechanics check on one engaged allied droid. If successful, the droid becomes immobilized and staggered for 1 round, then heals all strain and one Critical Injury with a severity rating no greater than Hard.",
39d24c7e81f650d42bfa,Disarming Smile,true,Action,false,true,Take the Disarming Smile action; succeed at an opposed Charm check to lower all defenses of a target by ranks in Disarming Smile until the end of encounter.,
61cd60d4b92fd4736134,Disciple of Lore,true,Incidental,false,true,"Once per round, may suffer 1 strain to decrease the difficulty of next Knowledge (Lore) check a number of times equal to ranks in Disciple of Lore.",
eb06dfc488026462853d,Disciplined Soul,true,Incidental,false,false,Spend one Destiny Point to after making a Discipline check to spend a number of :thr: not exceeding ranks in Knowledge (Lore) as :adv:.,
4da6e8195aace191f5cf,Disorienting Strike,false,Passive,false,false,"After failing a Lightsaber combat check, may spend or to disorient opponent for three rounds.",
039c660697611209cb2c,Distracting Behavior,true,Maneuver,false,true,"Make a Distracting Behavior maneuver and suffer strain no greater than ranks in Cunning. Until beginning of next turn, equal number of NPCs suffer :thr: on checks. Range increases with additional ranks.",
ddf6af022903302d150d,Distracting Behavior (Improved),false,Passive,false,false,The Distracting Behavior maneuver inflicts :thr: :thr: on NPCs’ checks when NPCs target character’s allies.,
