id,name,isActive,activationType,isForceOnly,isRanked,descriptionShort,descriptionLong
8e4b487a20379d3c64b6,A Step Ahead,true,Incidental,false,false,"Once per session, the character may suffer 2 strain in order to count his Cunning as one higher than normal for the remainder of the encounter.",
57cc6aa9cf1dd7e1f197,Acklay's Scything Strike,false,Passive,false,false,Brawl attacks gain Pierce rating equal to Force rating.,
7a21d99b419b538a2bbd,Altered Deal,true,Action,false,false,Once per session may take the Altered Deal action and make Hard (:pu: :pu: :pu:) Coercion check to radically change a previously made deal or bargain to the character’s advantage.,
79bcaedc99ed042032a8,Ambush,true,Maneuver,false,false,"Once per round while benefiting from cover, may make the Ambush maneuver. Add damage equal to Stealth skill to one hit of next successful combat check against a target within Short range before the end of the turn.",
6d0faebe5d15a1bc95ae,Analyze Data,true,Action,false,false,"Once per session, after capturing enemy data, may perform the Analyze Data action to make an Average (:pu: :pu:) Knowledge (Warfare) check. Once during the remainder of the session he may then add :suc: equal to ranks in Knowledge (Warfare) to one check related to that data.",
ae6df4c467ead3522262,Animal Bond (Improved),false,Passive,false,false,"When spending a maneuver to direct a bonded animal, the character may suffer 1 strain to add :bl: to the animal’s next check.",
eaa934d0325532a32bb2,As the Force Wills It,false,Passive,false,false,May make an Easy (:pu:) Knowledge (Lore) check to heal strain at the end of an encounter . :tri: can be spent to heal all strain.,
f7d1ac4984382dcb7a82,Beast Wrangler,false,Passive,false,false,Add :bl: per rank of Beast Wrangler to checks to tame or wrangle creatures.,
de090d114fae553220d2,Better Luck Next Time,true,Action,false,false,Take a Better Luck Next Time action; make a Hard (:pu: :pu: :pu:) Cool check to force a competitor to suffer a major misfortune.,
0df549bc4fc2cc4c4457,Biggest Fan,true,Action,false,false,"Once per session, may take a Biggest Fan action; make a Hard (:pu: :pu: :pu:) Charm check to turn one NPC into the character’s biggest fan.",
79665321f43a349d069f,Bodyguard (Supreme),false,Passive,false,false,Body Guard maneuver may protect a number of engaged characters up to ranks in Resilience.,
73334034adea98a2b7a2,Bolstered Armor,false,Passive,false,false,Increase the armor value of Signature vehicle by 1 per rank of Bolstered Armor.,
f8b16a50b132987b08c5,Bring It Down,true,Incidental,false,false,"Once per attack, spend 1 Destiny Point to add damage to a single hit equal to target’s Brawn value.",
239a795aac01a4d973ab,Burly,false,Passive,false,false,Reduce any wielded weapon’s Cumbersome quality and Encumbrance rating by a number equal to ranks in Burly to a minimum of 1.,
80a8e0622a1d6476b1ce,By the Book,true,Incidental,false,false,"Once per encounter, before making a combat check, the character may suffer two strain to add :adv: to the results equal to his ranks in By the Book.",
37d3a68e5c5454afdd27,Call 'Em,false,Passive,false,false,Do not add :bk: to combat checks due to the use of the Aim maneuver.,
237411f75cde032c3286,Calm Commander,false,Passive,false,false,May use ranks in Cool to upgrade Mass Combat checks instead of ranks in Leadership.,
